Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,% of FGA by Distance 2P,% of FGA by Distance 0-3,% of FGA by Distance 3-10,% of FGA by Distance 10-16,% of FGA by Distance 16-3P,% of FGA by Distance 3P,FG% by Distance 2P,FG% by Distance 0-3,FG% by Distance 3-10,FG% by Distance 10-16,FG% by Distance 16-3P,FG% by Distance 3P,% of FG Ast'd 2P,% of FG Ast'd 3P,Dunks %FGA,Dunks Num,Corner 3s %3PA,Corner 3s 3P%,Heaves Att.,Heaves Num
1,Álex Abrines\abrinal01,SG,25,OKC,31,588,0.357,22.3,0.191,0.102,0.025,0.019,0.045,0.809,0.5,0.5,0.5,0.333,0.571,0.323,0.8,0.951,0.006,1,0.205,0.385,2,0
2,Quincy Acy\acyqu01,PF,28,PHO,10,123,0.222,21.7,0.167,0.111,0,0.056,0,0.833,0.667,1,,0,,0.133,1,1,0,0,0.333,0.2,0,0
3,Jaylen Adams\adamsja01,PG,22,ATL,34,428,0.345,20.2,0.327,0.118,0.082,0.073,0.055,0.673,0.361,0.538,0.111,0.25,0.5,0.338,0.231,0.84,0,0,0.149,0.182,1,0
4,Steven Adams\adamsst01,C,25,OKC,80,2669,0.595,3.5,0.998,0.645,0.294,0.058,0,0.002,0.596,0.667,0.458,0.511,,0,0.642,,0.19,131,0,,2,0
5,Bam Adebayo\adebaba01,C,21,MIA,82,1913,0.576,5.2,0.969,0.572,0.243,0.121,0.033,0.031,0.588,0.716,0.415,0.373,0.438,0.2,0.7,0.667,0.257,117,0.267,0,2,0
6,Deng Adel\adelde01,SF,21,CLE,19,194,0.306,19.2,0.361,0.139,0.083,0.111,0.028,0.639,0.385,0.4,0.333,0.25,1,0.261,0.6,1,0,0,0.217,0.2,0,0
7,DeVaughn Akoon-Purcell\akoonde01,SG,25,DEN,7,22,0.3,12.9,0.6,0.5,0,0,0.1,0.4,0.5,0.6,,,0,0,0.667,,0.1,1,0.25,0,0,0
8,LaMarcus Aldridge\aldrila01,C,33,SAS,81,2687,0.519,9.7,0.968,0.27,0.246,0.252,0.201,0.032,0.528,0.716,0.485,0.437,0.442,0.238,0.588,0.9,0.042,51,0.095,0.25,0,0
9,Rawle Alkins\alkinra01,SG,21,CHI,10,120,0.333,10.1,0.692,0.385,0.282,0.026,0,0.308,0.37,0.533,0.182,0,,0.25,0.7,1,0.026,1,0.333,0.5,0,0
10,Grayson Allen\allengr01,SG,23,UTA,38,416,0.376,17.5,0.444,0.157,0.14,0.079,0.067,0.556,0.443,0.571,0.36,0.286,0.5,0.323,0.4,0.938,0.045,6,0.303,0.4,1,0
11,Jarrett Allen\allenja01,C,20,BRK,80,2096,0.59,4.3,0.921,0.678,0.22,0.021,0.002,0.079,0.629,0.725,0.384,0.167,0,0.133,0.83,1,0.343,170,0.867,0.154,0,0
12,Kadeem Allen\allenka01,PG,26,NYK,19,416,0.461,12,0.745,0.298,0.184,0.191,0.071,0.255,0.457,0.643,0.308,0.37,0.3,0.472,0.208,0.882,0,0,0.139,0.2,1,0
13,Al-Farouq Aminu\aminual01,PF,28,POR,81,2292,0.433,13.9,0.528,0.351,0.105,0.029,0.044,0.472,0.514,0.611,0.419,0.118,0.231,0.343,0.516,1,0.079,42,0.311,0.356,0,0
14,Justin Anderson\anderju01,SF,25,ATL,48,463,0.408,14.8,0.51,0.293,0.127,0.07,0.019,0.49,0.5,0.674,0.3,0.273,0,0.312,0.525,0.917,0.096,14,0.221,0.353,1,0
15,Kyle Anderson\anderky01,SF,25,MEM,43,1281,0.543,7.9,0.877,0.464,0.261,0.051,0.101,0.123,0.583,0.68,0.486,0.357,0.5,0.265,0.539,1,0.011,2,0.618,0.381,0,0
16,Ryan Anderson\anderry01,PF,30,TOT,25,322,0.304,19.4,0.42,0.203,0,0.101,0.116,0.58,0.414,0.5,,0.143,0.5,0.225,0.5,1,0.029,1,0.175,0.143,1,0
16,Ryan Anderson\anderry01,PF,30,PHO,15,278,0.317,18.7,0.433,0.2,0,0.117,0.117,0.567,0.462,0.583,,0.143,0.571,0.206,0.5,1,0.033,1,0.147,0,0,0
16,Ryan Anderson\anderry01,PF,30,MIA,10,44,0.222,24.3,0.333,0.222,0,0,0.111,0.667,0,0,,,0,0.333,,1,0,0,0.333,0.5,1,0
17,Ike Anigbogu\anigbik01,C,20,IND,3,6,0,12.7,1,0.333,0,0,0.667,0,0,0,,,0,,,,0,0,,,0,0
18,Giannis Antetokounmpo\antetgi01,PF,24,MIL,72,2358,0.578,7.7,0.837,0.573,0.152,0.051,0.063,0.163,0.641,0.769,0.339,0.381,0.41,0.256,0.472,0.673,0.246,279,0.044,0.222,1,0
19,Kostas Antetokounmpo\antetko01,PF,21,DAL,2,11,0,4,1,0.333,0.667,0,0,0,0,0,0,,,,,,0,0,,,0,0
20,Carmelo Anthony\anthoca01,PF,34,HOU,10,294,0.405,18.5,0.471,0.149,0.066,0.124,0.132,0.529,0.491,0.611,0.5,0.467,0.375,0.328,0.429,0.905,0.017,2,0.047,0.333,0,0
21,OG Anunoby\anunoog01,SF,21,TOR,67,1352,0.453,14,0.5,0.347,0.109,0.022,0.022,0.5,0.574,0.693,0.273,0.333,0.444,0.332,0.491,0.985,0.114,39,0.465,0.266,0,0
22,Ryan Arcidiacono\arcidry01,PG,24,CHI,81,1961,0.447,16.8,0.481,0.172,0.165,0.091,0.053,0.519,0.527,0.597,0.449,0.579,0.455,0.373,0.264,0.864,0,0,0.226,0.469,0,0
23,Trevor Ariza\arizatr01,SF,33,TOT,69,2349,0.399,16.6,0.41,0.262,0.091,0.023,0.034,0.59,0.493,0.611,0.224,0.294,0.44,0.334,0.617,0.917,0.042,29,0.297,0.395,1,0
23,Trevor Ariza\arizatr01,SF,33,PHO,26,884,0.379,16.8,0.388,0.251,0.097,0.013,0.026,0.612,0.409,0.491,0.227,0,0.5,0.36,0.472,0.94,0.04,9,0.288,0.4,0,0
23,Trevor Ariza\arizatr01,SF,33,WAS,43,1465,0.409,16.5,0.42,0.267,0.088,0.028,0.037,0.58,0.528,0.662,0.222,0.357,0.421,0.322,0.664,0.905,0.043,20,0.302,0.393,1,0
24,D.J. Augustin\augusdj01,PG,31,ORL,81,2269,0.47,15.2,0.541,0.267,0.137,0.075,0.061,0.459,0.511,0.646,0.333,0.353,0.512,0.421,0.182,0.641,0.001,0,0.174,0.519,4,0
25,Deandre Ayton\aytonde01,C,20,PHO,71,2183,0.585,6.7,0.995,0.478,0.217,0.154,0.146,0.005,0.588,0.733,0.556,0.41,0.346,0,0.711,,0.163,135,0.25,0,0,0
26,Dwayne Bacon\bacondw01,SG,23,CHO,43,759,0.475,13,0.661,0.288,0.179,0.121,0.074,0.339,0.494,0.73,0.304,0.355,0.263,0.437,0.607,0.737,0.027,7,0.299,0.462,0,0
27,Marvin Bagley III\baglema01,PF,19,SAC,62,1567,0.504,8.7,0.864,0.363,0.31,0.126,0.065,0.136,0.534,0.691,0.434,0.393,0.413,0.313,0.515,0.9,0.112,75,0.219,0.19,1,0
28,Ron Baker\bakerro01,SG,25,TOT,15,152,0.2,18.4,0.35,0.25,0,0,0.1,0.65,0.429,0.4,,,0.5,0.077,0.333,1,0,0,0.385,0,0,0
28,Ron Baker\bakerro01,SG,25,NYK,11,107,0.25,16.6,0.438,0.313,0,0,0.125,0.563,0.429,0.4,,,0.5,0.111,0.333,1,0,0,0.333,0,0,0
28,Ron Baker\bakerro01,SG,25,WAS,4,45,0,25.5,0,0,0,0,0,1,,,,,,0,,,0,0,0.5,0,0,0
29,Wade Baldwin\baldwwa01,PG,22,POR,16,94,0.303,12.2,0.727,0.303,0.182,0.091,0.152,0.273,0.333,0.3,0.333,0.333,0.4,0.222,0.125,0,0,0,0,,0,0
30,Lonzo Ball\balllo01,PG,21,LAL,47,1423,0.406,15.4,0.5,0.309,0.096,0.046,0.048,0.5,0.482,0.596,0.295,0.238,0.364,0.329,0.427,0.76,0.061,25,0.171,0.231,2,0
31,Mo Bamba\bambamo01,C,20,ORL,47,766,0.481,12.5,0.712,0.35,0.144,0.078,0.14,0.288,0.555,0.788,0.286,0.263,0.412,0.3,0.656,0.952,0.148,34,0.257,0.333,1,0
32,J.J. Barea\bareajo01,PG,34,DAL,38,752,0.418,14.1,0.668,0.203,0.221,0.138,0.106,0.332,0.479,0.654,0.341,0.472,0.439,0.297,0.163,0.447,0,0,0.055,0.286,0,0
33,Harrison Barnes\barneha02,PF-SF,26,TOT,77,2533,0.42,14.9,0.571,0.195,0.212,0.096,0.067,0.429,0.439,0.65,0.358,0.313,0.261,0.395,0.506,0.868,0.031,28,0.297,0.45,2,0
33,Harrison Barnes\barneha02,PF,26,DAL,49,1584,0.404,15,0.566,0.197,0.195,0.099,0.075,0.434,0.416,0.617,0.336,0.296,0.259,0.389,0.485,0.876,0.024,14,0.277,0.442,0,0
33,Harrison Barnes\barneha02,SF,26,SAC,28,949,0.455,14.8,0.581,0.19,0.252,0.09,0.048,0.419,0.489,0.729,0.397,0.357,0.267,0.408,0.545,0.849,0.048,14,0.346,0.467,2,0
34,Will Barton\bartowi01,SF,28,DEN,43,1189,0.402,15.1,0.574,0.215,0.187,0.093,0.078,0.426,0.447,0.596,0.349,0.395,0.333,0.342,0.458,0.791,0.015,6,0.122,0.375,2,0
35,Keita Bates-Diop\bateske01,SF,23,MIN,30,503,0.423,13.2,0.634,0.345,0.127,0.077,0.085,0.366,0.522,0.735,0.278,0.273,0.25,0.25,0.745,1,0.035,5,0.365,0.211,1,0
36,Nicolas Batum\batumni01,SF,30,CHO,75,2354,0.45,17.1,0.47,0.21,0.077,0.084,0.1,0.53,0.519,0.661,0.442,0.383,0.393,0.389,0.54,0.828,0.044,22,0.309,0.457,1,0
37,Jerryd Bayless\bayleje01,PG,30,MIN,34,657,0.357,17.1,0.574,0.17,0.096,0.087,0.222,0.426,0.402,0.462,0.364,0.2,0.451,0.296,0.321,0.724,0,0,0.133,0.231,1,0
38,Aron Baynes\baynear01,C,32,BOS,51,821,0.471,9.9,0.726,0.462,0.157,0.072,0.036,0.274,0.519,0.573,0.429,0.5,0.25,0.344,0.667,1,0.121,22,0.18,0.364,0,0
39,Kent Bazemore\bazemke01,SG,29,ATL,67,1643,0.402,15,0.566,0.279,0.109,0.078,0.1,0.434,0.465,0.611,0.213,0.296,0.464,0.32,0.478,0.844,0.023,15,0.353,0.34,4,0
40,Bradley Beal\bealbr01,SG,25,WAS,82,3028,0.475,14.7,0.63,0.281,0.1,0.103,0.145,0.37,0.548,0.697,0.422,0.464,0.406,0.351,0.425,0.718,0.042,61,0.141,0.417,1,0
41,Malik Beasley\beaslma01,SG,22,DEN,81,1879,0.474,16.8,0.45,0.202,0.115,0.064,0.069,0.55,0.56,0.732,0.365,0.553,0.392,0.402,0.758,0.982,0.072,45,0.188,0.461,1,0
42,Michael Beasley\beaslmi01,PF,30,LAL,26,277,0.49,7.6,0.889,0.366,0.353,0.118,0.052,0.111,0.529,0.714,0.426,0.333,0.375,0.176,0.472,1,0.046,7,0.471,0.25,0,0
43,Marco Belinelli\belinma01,SG,32,SAS,79,1815,0.413,19.7,0.428,0.112,0.067,0.088,0.161,0.572,0.468,0.584,0.478,0.361,0.441,0.372,0.775,0.844,0.004,2,0.167,0.394,4,0
44,Jordan Bell\belljo01,C,24,GSW,68,788,0.516,8.1,0.99,0.484,0.109,0.172,0.224,0.01,0.521,0.688,0.381,0.455,0.279,0,0.737,,0.198,32,0,,1,0
