,PLAYER,WEIGHT,FEET,INCHES,HEIGHT.in
1,Precious Achiuwa ,225,6,8,80
2,Jaylen Adams ,225,6,1,73
3,Steven Adams ,265,6,11,83
4,Bam Adebayo ,255,6,9,81
5,LaMarcus Aldridge ,250,6,11,83
6,Ty-Shon Alexander ,195,6,3,75
7,Nickeil Alexander-Walker ,205,6,6,78
8,Grayson Allen ,198,6,4,76
9,Jarrett Allen ,243,6,11,83
10,Al-Farouq Aminu ,220,6,8,80
11,Kyle Anderson ,230,6,9,81
12,Giannis Antetokounmpo ,242,6,11,83
13,Kostas Antetokounmpo ,200,6,10,82
14,Thanasis Antetokounmpo ,219,6,6,78
15,Carmelo Anthony ,238,6,7,79
16,Cole Anthony ,185,6,2,74
17,OG Anunoby ,232,6,7,79
18,Ryan Arcidiacono ,195,6,3,75
19,Trevor Ariza ,215,6,8,80
20,D.J. Augustin ,183,5,11,71
21,Deni Avdija ,210,6,9,81
22,Deandre Ayton ,250,6,11,83
23,Udoka Azubuike ,280,6,10,82
24,Dwayne Bacon ,221,6,6,78
25,Marvin Bagley III ,235,6,11,83
26,LaMelo Ball ,180,6,6,78
27,Lonzo Ball ,190,6,6,78
28,Mo Bamba ,231,7,1,85
29,Desmond Bane ,215,6,5,77
30,Harrison Barnes ,225,6,8,80
31,RJ Barrett ,214,6,6,78
32,Will Barton ,181,6,6,78
33,Keita Bates-Diop ,229,6,8,80
34,Nicolas Batum ,230,6,8,80
35,Aron Baynes ,260,6,10,82
36,Kent Bazemore ,195,6,4,76
37,Darius Bazley ,208,6,8,80
38,Bradley Beal ,207,6,3,75
39,Malik Beasley ,187,6,4,76
40,DeAndre' Bembry ,210,6,5,77
41,Davis Bertans ,225,6,10,82
42,Patrick Beverley ,180,6,1,73
43,Saddiq Bey ,215,6,7,79
44,Tyler Bey ,215,6,7,79
45,Khem Birch ,233,6,9,81
46,Goga Bitadze ,250,6,11,83
47,Bismack Biyombo ,255,6,8,80
48,Nemanja Bjelica ,234,6,10,82
49,Eric Bledsoe ,214,6,1,73
50,Keljin Blevins ,200,6,4,76
51,Bogdan Bogdanovic ,220,6,6,78
52,Bojan Bogdanovic ,226,6,7,79
53,Bol Bol ,220,7,2,86
54,Isaac Bonga ,180,6,8,80
55,Devin Booker ,206,6,5,77
56,Chris Boucher ,200,6,9,81
57,Brian Bowen II ,190,6,6,78
58,Avery Bradley ,180,6,3,75
59,Tony Bradley ,248,6,10,82
60,Jarrell Brantley ,250,6,5,77
61,Ignas Brazdeikis ,221,6,6,78
62,Mikal Bridges ,209,6,6,78
63,Miles Bridges ,225,6,6,78
64,Malcolm Brogdon ,229,6,5,77
65,Dillon Brooks ,225,6,7,79
66,Bruce Brown ,202,6,4,76
67,Jaylen Brown ,223,6,6,78
68,Moses Brown ,245,7,2,86
69,Sterling Brown ,219,6,5,77
70,Troy Brown Jr. ,215,6,6,78
71,Jalen Brunson ,190,6,1,73
72,Thomas Bryant ,248,6,10,82
73,Reggie Bullock ,205,6,6,78
74,Trey Burke ,185,6,1,73
75,Alec Burks ,214,6,6,78
76,Jimmy Butler ,230,6,7,79
77,Devontae Cacok ,240,6,7,79
78,Kentavious Caldwell-Pope ,204,6,5,77
79,Facundo Campazzo ,195,5,10,70
80,Vlatko Cancar ,236,6,8,80
81,Clint Capela ,240,6,10,82
82,Vernon Carey Jr. ,270,6,9,81
83,Jevon Carter ,200,6,1,73
84,Wendell Carter Jr. ,270,6,10,82
85,Michael Carter-Williams ,190,6,5,77
86,Alex Caruso ,186,6,4,76
87,Willie Cauley-Stein ,240,7,1,85
88,Chris Chiozza ,175,5,11,71
89,Marquese Chriss ,240,6,9,81
90,Gary Clark ,225,6,6,78
91,Brandon Clarke ,215,6,8,80
92,Jordan Clarkson ,194,6,4,76
93,Nicolas Claxton ,215,6,11,83
94,Amir Coffey ,210,6,7,79
95,John Collins ,235,6,9,81
96,Zach Collins ,250,6,11,83
97,,175,6,1,73
98,Pat Connaughton ,209,6,5,77
99,Tyler Cook ,255,6,8,80
100,Robert Covington ,209,6,7,79
101,Torrey Craig ,221,6,7,79
102,Jae Crowder ,235,6,6,78
103,Jarrett Culver ,195,6,6,78
104,Seth Curry ,185,6,2,74
105,Stephen Curry ,185,6,3,75
106,Default player ,200,6,6,78
107,Anthony Davis ,253,6,10,82
108,Ed Davis ,218,6,9,81
