,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
age,-0.045699946,0.036471121,-0.332156042,-0.45024319,0.209654979,-0.280788652,0.051190625,-0.447775266,0.167867522,0.142392164,0.368773367,-0.326539121,0.084025833,-0.124810048,0.035468403,-0.045282737,0.093136835,-0.103863013,-0.119960127,-0.023848663,0.069038304,-0.037350441,-0.002929329
attempts_0_10,0.272479601,-0.236765632,-0.134732804,0.278764553,0.024430481,0.171643917,0.036846215,-0.183938225,0.096472211,0.025812213,-0.041064529,-0.205650623,-0.196339074,0.120848797,0.066190936,-0.163147917,0.000164599,0.127954394,-0.236644173,0.169407162,-0.043716351,-0.015517957,-0.683562573
percent_0_10,0.15801651,0.073808067,-0.1324538,0.109326009,0.375290813,-0.455089311,-0.261718023,0.495931253,0.184449964,0.11856958,0.042524997,-0.103611463,-0.271845299,0.100813605,-0.162530981,0.208100758,-0.14226309,-0.094629401,-0.018470706,0.173103268,-0.05346098,-0.026414787,-0.015112409
attempts_dunk,0.304058478,0.02522881,-0.040370139,0.146232612,0.091484552,-0.039321005,0.037321254,0.202040738,-0.122928365,-0.191447769,0.15819948,-0.033096149,0.02169242,-0.064870966,0.458415774,-0.174698069,0.002136257,-0.446132548,0.017934859,-0.533783205,0.130841666,-0.055411881,-0.063757504
x_of_fg_ast_d_2p,0.14461956,0.40831583,0.085585865,-0.021491929,0.12102026,-0.180133766,-0.059285794,0.053755327,-0.056758148,0.094510619,-0.002929517,0.073369246,-0.051551625,0.040296546,0.353113299,-0.163974405,0.468069548,0.581038917,0.019858526,-0.051753158,-0.092024365,0.096951705,-0.006200838
attempts_10_3p,0.283388157,-0.224061202,-0.128717307,0.289956256,0.026866912,0.1373744,0.028490864,-0.154481499,0.085683279,0.015484391,-0.007899329,-0.199793011,-0.200462942,0.114223067,0.106824748,-0.158769334,0.025926533,0.072342652,-0.192471133,0.129035205,-0.017198004,-0.022364958,0.725786291
percent_10_3p,-0.156451577,0.064224024,-0.149359717,-0.314241054,0.360172444,0.218833349,0.510498558,0.146953224,-0.270429939,-0.105822229,-0.099252363,0.033710713,-0.223449414,0.33025646,0.239734224,0.048331998,-0.090914579,-0.077405774,-0.001698972,0.221377362,-0.114161909,-0.004842274,0.008731805
attempts_corner,-0.200507896,0.310201923,0.122097125,0.18700653,-0.13282237,-0.079081329,-0.162762698,-0.26148843,0.155428966,-0.203660676,0.171433202,0.016626075,-0.179521012,-0.03948177,0.316122958,-0.087417652,-0.237652116,-0.247433745,0.142245549,0.281197586,-0.430189849,0.236949357,-0.00697999
corner_3s_3p,-0.116955327,0.066846522,-0.42757782,0.17480457,-0.371783958,-0.092436017,0.272078678,0.097675978,-0.198864248,0.379629323,0.161789473,0.240796368,-0.374400979,-0.34560437,0.001981522,0.021991406,-0.042782143,0.035351117,-0.046337826,-0.055265183,-0.030980089,-0.030658384,-0.005207948
attempted_3p,-0.281682718,0.136967181,-0.1335626,0.105043558,0.01263672,0.036608332,-0.116971969,-0.061578752,0.138949053,-0.449557257,0.151904865,0.041294336,-0.245831877,0.04102096,0.099397721,0.083466873,-0.21170334,0.319147009,0.008372948,-0.034914522,0.562795571,-0.253333757,-0.00410503
percentage_3p,-0.161925529,0.096315007,-0.37663777,0.097274633,-0.41845721,0.025858296,0.041090969,0.292897413,0.208603661,-0.013743601,0.152621569,-0.190024504,0.351694039,0.518970676,0.03905458,-0.029115957,0.199951354,-0.052625838,0.061107008,0.055765706,-0.014928967,0.039452834,-0.007754777
x_of_fg_ast_d_3p,0.109380334,0.38212837,0.135918104,0.00075066,-0.112248355,-0.156346941,0.149606773,-0.114546189,0.041978984,0.396123076,-0.336543452,-0.139398119,0.110787768,0.195790094,0.051426829,-0.26253657,-0.507693352,6.64E-05,0.012938652,-0.031917424,0.23358852,-0.154418255,0.00991446
ft_rate,0.224241004,-0.160057698,-0.141198763,-0.01854443,0.097091585,-0.00790832,-0.286129588,-0.17583251,-0.253360805,0.175372951,0.343840242,0.55717375,0.237005665,0.31769092,0.106563497,0.002116783,-0.229090779,0.064080648,0.08326139,0.14298683,0.024581582,-0.069910342,-0.002477378
percentage_ft,-0.124323956,0.017793383,-0.429518841,-0.026835771,-0.03242782,-0.117218255,-0.457719391,-0.169882236,-0.425224203,-0.112202417,-0.55557963,-0.103202283,-0.03267097,0.015974585,0.053679911,-0.026443417,0.108683527,-0.126237963,0.021470834,-0.001351107,-0.004569841,0.000688707,0.001240506
ast,-0.108049734,-0.437305968,-0.147852017,-0.152093628,0.039638766,-0.116214367,0.008540443,0.123367208,0.149926589,-0.011693839,-0.072128917,-0.054249147,-0.060294179,-0.026292068,0.068693225,-0.343386416,-0.285161226,0.297107234,0.437619325,-0.216854513,-0.061057393,0.390055648,0.003017914
tov_percentage,0.059248634,-0.274517879,0.153408521,-0.445933994,-0.354877115,-0.113833924,-0.14483171,0.2209554,0.2066883,0.015417296,-0.134105414,0.138377719,-0.123124621,-0.105621641,0.399168173,-0.105108998,0.070998408,-0.101073446,-0.18198132,0.323003803,0.122605706,-0.213309344,-0.004164725
blk_percentage,0.258731686,0.078634225,-0.080535881,-0.03167297,-0.110559624,-0.153098592,0.132666537,0.200949606,-0.356963524,-0.396717714,0.148099052,-0.209669072,0.318093129,-0.318210145,-0.127273876,-0.203242196,-0.221218698,0.197202068,-0.048355706,0.334318418,-0.08651127,-0.074580143,0.010603975
stl_percentage,0.007526805,-0.222978303,0.13556993,0.165097026,-0.114460308,-0.672655472,0.381739906,-0.251461816,-0.047417814,-0.261071358,-0.112946486,0.190711193,-0.049569781,0.256587668,-0.08692509,0.045015208,0.164474247,-0.050594565,0.021115272,-0.019868159,0.015267227,-0.042608087,-0.012288753
pf,0.193648849,0.04111886,0.219493249,-0.318004908,-0.361578742,0.013648942,-0.166942473,-0.022608811,-0.317873518,-0.052976599,0.245754827,-0.26219529,-0.415936387,0.327116603,-0.190320055,0.112307987,-0.090527939,0.065948824,-0.049460395,-0.234930981,-0.058010649,0.129667183,-0.001098229
orb_percentage,0.325009398,0.017205568,-0.002744801,0.028677294,-0.080668806,0.075546934,0.092023362,-0.107731637,-0.035888746,0.084948705,-0.007190149,-0.178296557,-0.073638575,-0.094642005,0.09724352,0.306070591,0.171438538,-0.093256226,0.697660854,0.294376802,0.299830925,0.03144258,-0.027006502
drb_percentage,0.281615728,0.027397988,-0.206587284,-0.103800757,-0.123384483,0.001003596,0.088057969,-0.082985109,0.231619362,-0.13092059,-0.218010125,0.042971661,0.159438458,-0.063421217,0.228759039,0.618473182,-0.262118898,0.218366694,-0.127961484,-0.221411586,-0.260853109,0.04592608,0.015397772
height,0.269338162,0.236004909,-0.159539956,-0.132322135,-0.029551571,0.056799413,0.055195144,-0.012976481,0.161790996,-0.16508996,-0.100493528,0.309707739,-0.050834072,-0.014703826,-0.21288287,-0.122013511,0.044118935,-0.159849186,-0.213135126,0.103435479,0.339879402,0.632334452,0.006161732
weight,0.257347986,0.183998272,-0.198105483,-0.188093088,-0.027511656,0.131500198,0.005903903,-0.057655165,0.281714509,-0.198736639,-0.086723275,0.235560863,-0.179841016,0.03213157,-0.323828805,-0.285520463,0.085522025,-0.051587459,0.281723518,-0.120385674,-0.300117677,-0.45644283,0.002336261
