"","PC1","PC2","PC3","PC4","PC5","PC6"
"Aaron Gordon",-0.646912636022424,0.00166907902534821,0.834848500805159,-0.792723476594011,0.0745370909819409,-0.612368414422787
"Aaron Holiday",2.60581590558749,1.40814334674456,-0.54885559113209,-0.384698473996025,0.503876661701292,0.0653446026840209
"Abdel Nader",0.770774744235985,-1.2297201509177,-0.445723661694009,-0.82893358620978,0.609431982106333,-0.184726689866426
"Al-Farouq Aminu",-0.0223408403814152,-1.2083499760472,0.921903159656941,-0.344096662519952,-0.0279567685502978,0.447028546943201
"Al Horford",-1.10347326249613,-0.790055824410028,1.51149417910827,1.03779952029463,-1.01071696383331,1.08549822563435
"Alec Burks",0.877722052807331,0.698309114582977,0.902585042522046,-0.326342640552869,0.028541435238232,-0.317048633663583
"Álex Abrines",2.67394677606845,-2.67456442206614,-0.287648845089672,-0.0471834691927964,-0.0429427801243059,0.262835800860582
"Alex Caruso",0.992001142144807,2.59340814157422,-0.161192419838263,-0.285745172851183,1.08311045154667,0.425575275200268
"Alex Len",-3.75078377399338,-1.87744293244451,0.677459411708556,-1.01255550629517,0.802611030220789,-0.78268175032828
"Alex Poythress",-2.36041967579633,-1.62601152489337,-0.0806083020248541,-0.140199340634446,1.41367582253314,-0.805920960105111
"Alfonzo McKinnie",-0.876061310025067,-2.23440433680329,-1.09271326088264,-0.498674779727215,0.418312776627712,-0.185642901367054
"Alize Johnson",-0.602705381079042,-0.441194648872353,1.88888356221689,-1.94006467078257,3.53639973405915,-2.5628799426449
"Allen Crabbe",2.5649511404089,-2.72329744521139,-0.229476817552409,0.273242609932326,0.768166342317405,-0.344370048286104
"Allonzo Trier",0.989424504292156,2.04091357473605,0.384235586396205,-0.14752128240727,0.172362571943731,-1.20836128483404
"Amile Jefferson",-3.24527966064674,0.217599220099619,1.09115093206846,-0.952667841560506,-0.101880215510348,0.8188330654625
"Amir Johnson",-2.51014256869617,0.465108490316156,-0.840452301822793,2.27057722916484,1.01116645648617,0.631419614541302
"Andre Drummond",-7.35708758745931,1.493564821953,-0.265100339249476,-0.653845181402857,-0.753267291174481,-0.405414940614221
"Andre Iguodala",0.0665633695251875,-0.787845486968127,0.28777669150592,0.661724429030612,-1.19957169514076,2.92273751404399
"Andrew Bogut",-4.16756586852,-0.256114937505695,2.14348266901487,2.67369199009346,1.64223907702073,0.0483487180365587
"Andrew Harrison",0.976609957518319,1.97622607336095,-0.85942978105254,1.81973673716854,0.805841674705532,-0.736508167055095
"Andrew Wiggins",0.722059014577181,0.397290299760418,0.358970849388474,-1.5258526937434,-0.168783374864565,-0.74709557118776
"Anfernee Simons",2.81352618881374,1.35985649031879,-0.810339840381067,-1.1449857582397,-0.390113508761667,-2.11428492173217
"Ante Žižic",-3.16757586911625,0.640468701369091,0.141559558895467,-0.52248360821287,0.205607458124473,-1.50422628594868
"Anthony Davis",-4.70878238075265,0.29964332967195,2.84933439816906,-1.77409310938501,0.0791435831207177,0.924456467488017
