,X,PC1,PC2,PC3,PC4,PC5,greedy_communities,betweenness_communities,kmclust,hclust,mmclust
480,Walt Lemon Jr.,-0.901820801,3.397576407,0.658823189,-1.882336243,0.703910016,42,58,9,7,7
479,Wade Baldwin,0.693098475,4.797389007,-0.266776908,2.283286715,1.37769921,41,57,5,15,7
476,Udonis Haslem,-0.823616873,-1.590948507,-0.275229097,2.982921022,-2.760259543,40,56,16,19,14
454,Tony Bradley,-6.007846297,1.816721156,-1.440264533,-1.92422041,2.170133862,39,55,14,11,10
447,Thomas Welsh,1.034285786,-3.663579164,1.519183332,2.507504985,-4.879528832,38,54,3,16,15
388,Quincy Acy,-1.895322494,-2.61799989,-1.31165002,2.693650688,-1.46825792,37,53,2,19,14
387,PJ Dozier,-0.95328762,0.533578122,-1.178062268,-2.54977476,-2.106612611,36,52,18,17,16
365,Nick Young,2.889729451,-2.406294052,-1.628057329,2.788503509,-0.2289348,35,51,16,16,15
353,Miloš Teodosic,1.869731512,0.743554594,-1.095054991,4.9002326,2.733801274,34,49,12,12,19
342,Melvin Frazier,-1.606803972,-1.187682159,-4.569369423,-1.78473358,-2.439544106,33,48,11,17,17
322,Malcolm Miller,4.282013204,-4.443442789,-0.332240485,-1.263012511,2.440870541,32,46,4,9,6
320,Malachi Richardson,3.735982889,-1.216136718,-1.9946392,0.603712961,2.854726102,31,45,4,9,6
311,Lonnie Walker,1.773332439,0.902789529,1.912059692,-2.130401012,2.324711285,30,44,17,9,5
310,LeBron James,-1.182268883,3.505042019,2.902036132,0.142283596,-1.700411819,29,43,17,7,7
298,Kyle Korver,3.608325434,-3.769671531,1.786411138,2.40991882,-1.990887727,28,41,3,16,15
286,Kevin Durant,-0.148039508,0.960321523,2.630989982,1.352463745,-2.278481333,27,40,17,7,1
261,José Calderón,2.581563333,0.866272148,0.014947837,4.827392442,-0.855882074,26,39,5,16,19
238,Jimmer Fredette,2.223664784,1.243555619,-1.574792922,0.680984865,-2.64716027,25,36,13,13,12
224,Jawun Evans,1.330188833,2.44087948,-3.528561692,2.925638052,1.126207643,24,35,13,2,2
220,Jarred Vanderbilt,-4.722466026,2.68148965,-3.743575104,0.060984305,0.191657091,23,34,19,11,10
211,James Harden,1.411464211,4.611591862,2.693301996,-0.798196185,0.087184235,22,32,9,15,7
208,Jamal Crawford,4.656143101,2.013478363,1.721795586,4.398402263,-2.592249056,21,31,5,16,19
200,Jacob Evans,1.022408591,0.169111754,-4.500948089,1.674408841,0.95787338,20,30,11,2,2
190,Isaiah Hartenstein,-4.172397377,-0.803759943,-0.946865702,2.00899608,3.747656901,19,29,2,11,8
186,Isaac Bonga,-0.608860286,3.153054718,-3.829729672,-0.457247389,-0.141801195,18,27,11,2,7
181,Haywood Highsmith,0.554529714,-1.913343459,-4.497557406,-0.763169633,-2.382050616,17,26,11,17,17
169,Giannis Antetokounmpo,-5.821666394,2.97464313,1.943450735,-1.225899306,-0.965376862,16,24,14,11,10
152,Eric Moreland,-1.494287266,1.486557554,1.318702276,5.070167886,8.429662866,15,23,12,18,18
141,Džanan Musa,-0.311538311,-0.347621292,-4.707461785,-2.227598651,-2.624719585,14,22,11,17,17
127,Dirk Nowitzki,2.765200153,-4.345861083,2.827733506,5.24565628,-3.723338505,13,20,3,16,15
82,Dairis Bertans,6.267835698,-2.542765739,-0.012270259,3.395939067,-3.163501562,12,15,3,16,15
69,Chris Paul,4.251780011,4.690277238,1.204629593,1.572445718,-0.477643192,11,14,5,15,7
68,Chris Chiozza,3.206280138,-1.212860085,-0.979258346,-0.06674473,3.238184611,10,13,4,9,6
37,Boban Marjanovic,-5.717815631,-0.780720287,4.437516768,0.309295953,2.305790244,9,8,6,14,9
34,Billy Garrett,1.504289878,-0.165902124,0.504385634,0.181923502,-4.183044154,8,7,7,13,12
12,Alize Johnson,-0.602705381,-0.441194649,1.888883562,-1.940064671,3.536399734,7,5,10,9,9
2,Aaron Holiday,2.605815906,1.408143347,-0.548855591,-0.384698474,0.503876662,6,2,13,2,2
8,Alex Caruso,0.992001142,2.593408142,-0.16119242,-0.285745173,1.083110452,6,2,9,7,7
14,Allonzo Trier,0.989424504,2.040913575,0.384235586,-0.147521282,0.172362572,6,2,9,7,5
20,Andrew Harrison,0.976609958,1.976226073,-0.859429781,1.819736737,0.805841675,6,2,13,12,2
22,Anfernee Simons,2.813526189,1.35985649,-0.81033984,-1.144985758,-0.390113509,6,2,13,5,2
36,Blake Griffin,-0.553732581,1.738273294,2.398565837,-0.186614787,-0.068850695,6,2,17,7,5
42,Brad Wanamaker,1.576768245,1.889388349,-0.177728163,1.422849644,-1.006871871,6,2,13,7,13
43,Bradley Beal,0.679358286,1.24889573,1.248973027,-1.048104559,-0.468581646,6,2,17,5,5
44,Brandon Goodwin,1.89961292,2.860752124,-0.296607182,-0.058074584,0.384436185,6,2,9,7,2
46,Brandon Knight,3.637692346,1.507794438,-0.71813192,0.290790417,-0.701230556,6,2,13,2,2
56,Cameron Payne,2.387210251,2.585731611,-0.519825041,-0.190616187,0.21257324,6,2,13,2,2
58,Caris LeVert,0.584419356,3.046644768,0.414700351,-1.34350771,-0.34594694,6,2,9,7,7
64,Chasson Randle,2.339644093,1.392189211,-1.117161306,0.067769315,0.802338441,6,2,13,2,2
74,Collin Sexton,2.19075843,2.01957357,-0.031345406,-1.143453367,-0.066277575,6,2,9,5,5
76,Cory Joseph,2.505518021,1.260134875,-0.57704344,0.606231408,-0.296831375,6,2,13,2,2
79,D'Angelo Russell,3.211648123,3.210490031,1.03166064,-0.780104971,0.057523458,6,2,9,15,7
80,D.J. Augustin,2.513432944,1.970575762,2.212401861,0.582478008,0.075443872,6,2,17,5,7
84,Damian Lillard,2.263425712,3.51665232,1.870024613,-0.825005064,-1.023157431,6,2,9,15,7
87,Daniel Hamilton,0.981808906,0.602613522,-1.787926057,0.26725632,2.016204358,6,2,15,2,13
92,Dante Exum,0.140887212,1.741842082,-0.419889764,-0.642088415,0.67048675,6,2,18,2,7
96,Darren Collison,3.625704073,2.928740063,0.836151611,0.259910787,0.060232587,6,2,5,15,7
97,Daryl Macon,2.656962195,1.632657857,-1.780407583,1.558588638,-0.225679681,6,2,13,2,2
101,De'Aaron Fox,1.130712062,4.613990936,-0.026502136,-0.983803745,0.072115989,6,2,9,15,7
102,De'Anthony Melton,1.375248366,2.150589645,-1.995717748,0.232960364,2.18502902,6,2,13,2,2
106,Delon Wright,0.878661771,2.379894423,0.255120976,-1.319024721,-0.026780998,6,2,9,7,5
107,DeMar DeRozan,-0.343686903,2.029346484,0.54884731,0.689551601,-1.772145252,6,18,17,7,13
113,Dennis Smith Jr.,0.937606972,3.512738293,-0.805605439,-0.886686317,0.390673199,6,2,9,2,7
117,Derrick Rose,1.994819838,2.439541905,2.082422868,-1.129405331,-0.887790812,6,2,17,5,7
118,Derrick White,0.989945041,1.742464302,-0.316416194,-0.038502733,0.030562249,6,2,13,5,13
119,Devin Booker,1.30693854,2.889596303,0.973579721,-0.094523788,-0.478848756,6,2,9,7,7
122,Devonte' Graham,3.196644261,1.787179505,-0.560260279,-0.483190272,0.014803221,6,2,13,2,2
129,Donovan Mitchell,0.966804782,2.340040217,0.845150244,-1.517014648,0.240485462,6,2,9,7,5
134,Draymond Green,-0.387605573,1.552753952,-0.144770999,2.412273261,1.340897884,6,18,13,12,13
